stem,height_median,height_mean,width_median,width_mean,area_median,area_mean
2_190,21.7061,25.6561,0.4403,0.3610,9.5568,9.2609
2_190,18.0115,18.0115,0.4403,0.3610,7.9301,6.5014
6_196,226.7527,226.7527,0.1987,0.1987,45.0632,45.0632
6_196,250.0920,250.0920,0.1987,0.1987,49.7015,49.7015
6_196,409.4288,409.4288,0.1987,0.1987,81.3670,81.3670
6_196,1074.5701,1074.5701,0.1987,0.1987,213.5525,213.5525
6_196,192.2838,192.2838,1.3978,1.3978,268.7751,268.7751
6_196,200.0349,200.0349,0.1987,0.1987,39.7535,39.7535
6_196,111.6988,111.6988,0.1987,0.1987,22.1982,22.1982
6_196,18.0331,18.0331,1.3978,1.3978,25.2067,25.2067
6_196,424.5103,424.5103,1.3978,1.3978,593.3821,593.3821
6_196,72.9720,72.9164,1.3978,1.3978,102.0006,101.9228
6_196,2130.7722,2130.7722,0.1987,0.1987,423.4548,423.4548
6_196,319.5988,319.5988,0.1987,0.1987,63.5148,63.5148
6_196,25.3199,25.3199,1.3978,1.3978,35.3923,35.3923
6_196,664.1543,664.1543,0.1987,0.1987,131.9894,131.9894
6_196,631.0448,631.0448,0.1987,0.1987,125.4094,125.4094
6_196,552.8679,552.8679,0.1987,0.1987,109.8731,109.8731
6_196,1458.2991,1458.2991,0.1987,0.1987,289.8122,289.8122
7_4,46.3171,40.9084,5.7806,5.7806,267.7422,236.4765
7_4,22.4315,22.4315,0.1273,0.1273,2.8562,2.8562
7_4,107.8537,107.8537,0.1273,0.1273,13.7329,13.7329
8_139,81.6570,81.6570,24.5523,24.5523,2004.8688,2004.8688
8_139,19.3055,19.5687,24.5523,24.5523,473.9961,480.4578
8_139,1034.4274,1034.4274,24.5523,24.5523,25397.6091,25397.6091
8_139,983.7609,983.7609,24.5523,24.5523,24153.6270,24153.6270
8_139,10.0633,10.0633,24.5523,24.5523,247.0775,247.0775
8_139,168.0368,168.0368,24.5523,24.5523,4125.6952,4125.6952
9_196,497.3402,497.3402,0.5776,0.5776,287.2396,287.2396
9_196,16.3536,16.3536,1.9934,1.9934,32.5993,32.5993
9_196,600.1367,600.1367,0.5776,0.5776,346.6099,346.6099
9_196,18.1146,18.1146,0.5776,0.5776,10.4621,10.4621
9_196,73.2843,64.4390,0.5776,0.5776,42.3254,37.2169
9_196,16.4972,20.1853,0.5776,0.5776,9.5280,11.6580
9_196,830.9491,830.9491,0.5776,0.5776,479.9160,479.9160
9_196,106.6276,106.6276,1.9934,1.9934,212.5512,212.5512
9_196,296.4093,296.4093,0.5776,0.5776,171.1916,171.1916
9_196,392.2720,392.2720,0.5776,0.5776,226.5573,226.5573
9_196,17.0748,17.0748,1.9934,1.9934,34.0369,34.0369
9_196,2864.2910,2864.2910,0.5776,0.5776,1654.2758,1654.2758
