image,group_idx,median_m,mean_m,count
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/2_190.jpg",0,17.68613968071018,17.208727960553297,7
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/2_190.jpg",1,19.36329349487677,19.248872706096464,11
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/2_190.jpg",2,108.67931114598953,108.67931114598953,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/2_190.jpg",3,15.730591696249636,15.522867585241936,7
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/2_190.jpg",0,17.68613968071018,17.208727960553297,7
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/2_190.jpg",1,19.36329349487677,19.248872706096464,11
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/2_190.jpg",2,108.67931114598953,108.67931114598953,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/2_190.jpg",3,15.730591696249636,15.522867585241936,7
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/6_196.jpg",0,15.634328537797536,17.06165614487497,22
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/6_196.jpg",1,19.823838484808405,20.70758392284707,7
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/7_4.jpg",0,19.822127211318175,26.203725858194314,10
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/7_4.jpg",1,23.119677425734807,23.119677425734807,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/7_4.jpg",2,52.35867527116868,52.35867527116868,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/7_4.jpg",3,22.657553235383745,22.657553235383745,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/7_4.jpg",4,86.95006992546172,86.95006992546172,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/8_139.jpg",0,18.28853734497548,22.320193702578678,16
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/8_139.jpg",1,16.479431722255136,16.341574203188873,3
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/8_139.jpg",2,21.810881765751983,21.810881765751983,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/8_139.jpg",3,51.90664413798659,51.90664413798659,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/8_139.jpg",4,14.325989208640378,14.325989208640378,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/9_196.jpg",0,15.772135388742342,16.021127171433523,32
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/9_196.jpg",1,335.0579850142822,335.0579850142822,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/2_190.jpg",0,17.68613968071018,17.208727960553297,7
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/2_190.jpg",1,19.36329349487677,19.248872706096464,11
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/2_190.jpg",2,108.67931114598953,108.67931114598953,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/2_190.jpg",3,15.730591696249636,15.522867585241936,7
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/6_196.jpg",0,15.634328537797536,17.06165614487497,22
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/6_196.jpg",1,19.823838484808405,20.70758392284707,7
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/7_4.jpg",0,19.822127211318175,26.203725858194314,10
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/7_4.jpg",1,23.119677425734807,23.119677425734807,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/7_4.jpg",2,52.35867527116868,52.35867527116868,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/7_4.jpg",3,22.657553235383745,22.657553235383745,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/7_4.jpg",4,86.95006992546172,86.95006992546172,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/8_139.jpg",0,18.28853734497548,22.320193702578678,16
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/8_139.jpg",1,16.479431722255136,16.341574203188873,3
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/8_139.jpg",2,21.810881765751983,21.810881765751983,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/8_139.jpg",3,51.90664413798659,51.90664413798659,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/8_139.jpg",4,14.325989208640378,14.325989208640378,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/9_196.jpg",0,15.772135388742342,16.021127171433523,32
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/9_196.jpg",1,335.0579850142822,335.0579850142822,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/0_left.jpg",0,8.80669172711391,9.978769148620126,7
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/0_left.jpg",1,9.182801926181506,9.182801926181506,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/0_right.jpg",0,37.82758610164719,34.92687054684353,5
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/0_right.jpg",1,27.173834595641154,27.173834595641154,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/0_right.jpg",2,5.91658775909748,5.91658775909748,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/0_right.jpg",3,33.644692546805935,35.654242690033186,5
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/0_right.jpg",4,2.282097576190023,2.5120143250917804,6
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/0_right.jpg",5,2.9287734705338018,2.9287734705338018,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/0_right.jpg",6,4.02056811668637,4.02056811668637,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1000_left.jpg",0,19.88759634851822,17.744429324089623,7
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1000_left.jpg",1,21.86589449743979,24.032232653289434,7
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1000_left.jpg",2,91.74800603742747,91.74800603742747,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1000_left.jpg",3,35.849411757241235,35.849411757241235,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1000_left.jpg",4,37.006900554390896,37.006900554390896,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1000_right.jpg",0,19.440651090578292,19.217027537287787,12
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1000_right.jpg",1,17.833717617471763,17.912091596549487,7
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1000_right.jpg",2,21.546314247358115,21.546314247358115,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1000_right.jpg",3,25.52723200572717,25.52723200572717,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1000_right.jpg",4,26.50803980693176,26.50803980693176,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1001_left.jpg",0,19.53287720346947,19.53287720346947,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1001_left.jpg",1,16.703116007453314,16.703116007453314,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1001_left.jpg",2,16.55059736254071,14.017932083207953,3
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1001_left.jpg",3,13.406979821664855,13.406979821664855,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1001_right.jpg",0,18.7238841727275,19.11173456667785,20
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1001_right.jpg",1,22.125653907004654,22.125653907004654,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1002_left.jpg",0,12.244410761499287,12.244410761499287,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1002_left.jpg",1,19.055174988278143,18.018423225003698,5
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1002_left.jpg",2,21.79366680651137,21.79366680651137,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1002_left.jpg",3,9.60755688913941,9.60755688913941,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1002_right.jpg",0,22.55171292600087,33.83601534542377,11
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1002_right.jpg",1,21.64341940549385,23.350191032752356,5
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1002_right.jpg",2,20.9913843248251,20.9913843248251,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1003_left.jpg",0,23.10370380537031,23.10370380537031,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1003_left.jpg",1,19.77053039307075,19.77053039307075,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1003_left.jpg",2,52.9098061833603,47.62784437530837,3
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1003_left.jpg",3,19.48163633617583,18.89181466034101,3
